127.0.0.1 - - [01/Jul/2021:12:07:55 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:07:56 +0900] "GET /BootStrapWork/BootEx01.html HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:07:57 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:13:40 +0900] "GET /BootStrapWork/BootEx01.html HTTP/1.1" 200 2241
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:13:40 +0900] "GET /BootStrapWork/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:14:20 +0900] "GET /BootStrapWork/BootEx01.html HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:14:20 +0900] "GET /BootStrapWork/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:14:20 +0900] "GET /BootStrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:22:39 +0900] "GET /BootStrapWork/BootEx01.html HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:22:39 +0900] "GET /BootStrapWork/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:22:39 +0900] "GET /BootStrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:27:32 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:29:46 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 2255
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:30:05 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 2266
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:31:26 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:31:26 +0900] "GET /BootStrapWork/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:31:26 +0900] "GET /BootStrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:34:35 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 3467
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:34:35 +0900] "GET /BootStrapWork/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:34:35 +0900] "GET /BootStrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:35:36 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 4507
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:37:02 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 5486
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:37:02 +0900] "GET /BootStrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:37:02 +0900] "GET /BootStrapWork/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:37:37 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 5485
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:37:50 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 5486
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:37:51 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:39:04 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 6471
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:40:03 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 7449
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:40:03 +0900] "GET /BootStrapWork/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:40:03 +0900] "GET /BootStrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:40:24 +0900] "GET /BootStrapWork/css/bootstrap.css.map HTTP/1.1" 200 379710
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:41:10 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 8423
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:42:40 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 9427
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:43:46 +0900] "GET /BootStrapWork/BootEx02.html HTTP/1.1" 200 9467
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:43:46 +0900] "GET /BootStrapWork/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:43:46 +0900] "GET /BootStrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:46:31 +0900] "GET /BootStrapWork/BootEx03.html HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:47:13 +0900] "GET /BootStrapWork/BootEx03.html HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:47:13 +0900] "GET /BootStrapWork/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:47:13 +0900] "GET /BootStrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:49:00 +0900] "GET /BootStrapWork/BootEx03.html HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:50:49 +0900] "GET /BootStrapWork/BootEx03.html HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:50:49 +0900] "GET /BootStrapWork/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:50:49 +0900] "GET /BootStrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
